Red,Green,Blue
92,117,131
91,114,126
91,111,122
91,110,118
91,108,118
88,104,116
89,104,115
90,111,123
90,114,125
91,116,127
91,117,129
90,106,118
90,107,119
90,108,121
88,103,113
90,109,122
90,112,125
90,111,122
89,106,123
90,106,122
90,108,120
90,110,120
89,109,120
89,108,119
89,110,123
157,184,220
154,179,209
153,177,205
154,180,215
151,174,205
149,173,200
148,171,196
147,171,194
152,176,210
147,171,203
145,166,197
144,168,194
146,169,200
143,168,191
141,166,188
148,168,199
148,171,200
149,171,200
149,169,201
147,169,195
145,168,190
138,160,180
136,153,172
142,166,187
152,170,197
154,172,198
155,174,200
154,175,201
153,173,196
150,170,190
144,166,185
138,158,178
133,148,169
137,142,162
159,176,201
155,172,200
151,169,198
161,180,202
160,184,203
159,179,198
155,174,193
146,171,187
137,161,178
131,148,168
137,138,159
143,137,162
150,143,174
152,172,199
158,174,204
163,181,205
166,187,205
164,190,206
162,183,201
157,175,195
147,171,189
137,160,179
130,146,167
140,137,157
150,138,165
246,237,248
203,183,212
160,145,188
153,177,201
159,179,208
165,188,208
167,191,208
163,188,208
160,181,203
155,173,197
146,165,191
136,155,180
130,144,167
145,139,154
161,138,167
177,141,203
215,210,238
254,255,255
255,255,255
255,255,255
150,175,195
151,176,197
160,180,209
166,187,208
250,255,255
255,255,255
255,255,255
255,255,255
255,255,255
227,246,255
193,175,228
172,148,179
151,137,157
131,144,166
136,153,176
144,162,185
153,171,192
168,191,207
163,189,206
155,178,203
159,181,200
153,176,201
156,176,204
161,178,208
167,184,206
168,189,204
163,189,202
157,180,195
151,169,185
143,159,177
136,151,171
132,144,166
158,139,162
185,160,192
212,204,254
241,255,255
255,255,255
255,255,255
255,255,255
255,255,255
250,255,255
222,255,255
235,255,255
151,178,198
200,255,255
231,255,255
220,255,255
150,175,197
151,176,205
151,171,206
153,171,206
158,175,206
162,184,203
163,188,201
158,184,198
153,175,189
148,165,179
144,157,170
140,151,166
138,145,166
171,153,166
203,177,204
236,217,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
245,255,255
209,255,255
210,255,255
228,255,255
241,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,245,255
221,189,223
182,158,181
144,148,174
143,150,168
144,154,168
146,162,177
150,170,185
154,178,193
158,183,196
157,179,200
154,171,203
151,167,205
150,168,207
150,175,208
151,178,203
202,255,255
195,254,255
189,243,255
219,255,255
150,177,205
148,170,202
152,182,202
148,166,200
151,165,197
153,169,194
153,173,191
149,171,188
145,165,182
143,158,176
144,150,171
146,148,176
150,152,188
194,157,201
239,199,245
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
236,255,255
223,255,255
216,244,255
208,247,255
201,250,255
196,254,255
190,244,255
184,233,255
151,181,203
175,223,255
144,160,180
146,169,198
149,178,202
152,185,204
153,188,207
147,163,191
148,165,188
148,166,185
146,164,183
146,164,195
159,209,255
166,217,255
174,224,255
181,233,255
185,239,255
189,241,255
194,238,255
199,238,255
206,242,255
214,255,255
226,255,255
246,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,251,255
211,193,222
167,156,202
159,152,183
151,152,173
143,155,176
155,185,219
155,192,212
152,189,205
148,179,199
152,196,255
160,207,255
166,215,255
172,221,255
178,227,255
181,230,255
183,230,255
186,229,255
190,231,255
198,237,255
205,249,255
217,255,255
236,255,255
254,255,255
145,168,195
255,255,255
255,255,255
255,255,255
255,255,255
229,225,251
185,168,220
171,159,190
158,154,174
144,154,176
143,156,178
143,162,190
144,162,186
144,162,183
145,161,181
255,255,255
144,158,179
156,180,220
156,184,212
153,185,205
148,182,198
143,172,194
140,164,189
140,162,185
141,161,183
141,154,179
142,153,177
145,154,175
164,156,173
183,171,198
203,198,246
246,252,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
243,255,255
225,255,255
207,251,255
196,240,255
189,229,255
182,226,255
178,224,255
177,222,255
176,220,255
175,218,255
170,216,255
165,209,255
160,202,255
152,194,255
143,184,255
135,173,249
141,158,181
156,177,221
255,255,255
255,255,255
255,255,255
222,212,255
197,181,206
172,162,172
147,156,175
143,154,177
141,154,180
139,157,181
139,159,183
138,161,185
139,163,189
142,170,193
147,180,197
152,179,205
155,178,212
157,181,217
255,255,255
250,255,255
230,255,255
214,253,255
199,244,255
188,235,255
183,226,255
177,222,255
174,218,255
173,216,255
173,212,255
171,209,255
166,208,255
161,203,255
156,196,255
148,188,255
141,180,255
134,169,248
132,165,238
131,163,230
255,255,255
154,179,221
152,175,213
149,173,204
145,172,196
141,164,193
138,160,188
127,157,220
138,159,185
129,159,225
130,162,229
132,165,237
133,167,245
139,176,254
145,184,255
152,191,255
157,199,255
162,204,255
167,203,255
168,206,255
169,209,255
170,212,255
173,217,255
177,221,255
203,244,255
182,228,255
138,158,183
138,157,181
141,157,180
190,236,255
144,157,178
151,158,175
180,168,173
210,190,214
241,222,255
255,255,255
255,255,255
255,255,255
255,255,255
255,255,255
236,255,255
216,255,255
155,183,221
175,221,255
182,226,255
192,230,255
203,250,255
221,255,255
253,255,255
255,255,255
255,255,255
255,255,255
255,255,255
255,237,255
224,190,225
188,163,187
153,156,185
146,158,183
142,160,182
138,158,183
137,158,184
138,158,185
138,159,188
140,163,190
143,168,194
146,171,201
149,175,207
151,182,215
154,183,216
155,182,217
129,158,223
123,151,211
124,153,214
126,155,218
130,162,227
131,164,233
133,166,241
138,173,249
143,180,255
148,187,255
153,197,255
158,202,255
163,201,255
165,202,255
165,204,255
166,208,255
168,211,255
172,215,255
152,180,209
149,184,206
146,174,201
143,167,196
141,166,191
139,162,189
137,159,187
137,157,186
137,158,185
137,159,185
143,160,185
149,156,189
157,152,195
195,165,202
232,196,236
255,245,255
255,255,255
255,255,255
255,255,255
243,255,255
211,255,255
194,239,255
185,223,255
176,220,255
170,215,255
167,210,255
