Red,Green,Blue
91,100,132
88,108,140
85,100,130
88,101,135
91,104,141
94,113,147
97,114,150
82,102,135
80,105,142
77,102,138
79,100,133
81,102,139
83,105,144
86,109,149
89,111,151
90,111,152
90,111,154
90,111,154
90,112,154
80,102,144
79,101,141
80,102,137
82,105,142
84,108,147
86,110,152
88,111,153
90,111,153
89,111,154
89,111,155
88,112,155
88,111,155
87,112,154
86,113,151
84,103,148
82,100,146
82,100,144
83,103,142
84,108,146
86,110,150
88,112,154
90,112,155
91,112,155
90,113,155
90,113,155
89,113,155
87,113,154
84,113,153
82,111,150
79,105,147
77,99,142
74,93,132
72,88,122
84,104,151
84,100,147
84,100,147
84,102,147
86,104,147
87,109,150
88,113,153
90,116,155
91,115,156
92,114,157
91,115,158
90,115,157
89,116,154
86,117,152
82,114,148
79,107,142
75,100,137
72,94,131
69,88,125
68,80,119
67,75,114
66,77,112
66,79,109
67,79,107
85,104,150
85,102,146
85,103,148
86,105,151
87,107,153
88,111,154
89,114,155
90,117,157
91,116,158
91,115,159
90,115,161
89,116,158
87,117,154
83,115,150
76,101,135
73,96,126
70,90,120
68,82,118
67,78,116
67,76,114
67,81,115
69,82,114
71,82,114
73,81,119
82,86,124
79,109,143
79,84,127
88,108,155
87,107,150
86,107,147
86,107,151
86,109,154
87,112,157
88,114,157
88,115,157
89,117,158
89,115,159
89,115,161
87,115,162
86,116,158
84,116,153
80,109,148
77,102,139
73,96,127
72,92,116
70,86,111
69,79,112
69,80,114
70,83,115
70,87,118
72,87,119
75,84,121
82,111,152
90,112,158
88,113,155
87,113,154
86,113,155
87,114,157
87,116,157
88,116,157
88,117,156
88,119,156
87,116,156
86,113,156
84,112,156
76,88,126
80,107,147
77,100,143
74,96,136
71,94,127
71,91,118
70,88,115
70,84,115
71,87,116
72,89,118
73,88,122
80,88,131
80,91,134
95,117,163
91,117,162
90,117,161
88,117,160
87,116,159
87,117,159
88,117,158
88,117,157
88,117,156
86,118,155
85,114,153
84,111,151
82,110,150
81,105,146
78,101,142
75,95,138
73,93,133
70,93,127
71,91,121
71,89,119
71,86,118
73,90,118
74,91,121
76,89,127
84,94,140
92,122,165
94,120,164
83,96,141
90,120,167
89,119,166
87,119,164
88,118,161
88,116,159
88,117,157
87,116,155
85,113,153
83,111,150
81,108,146
80,106,143
79,101,140
78,97,136
75,94,133
72,94,130
70,93,127
71,90,124
72,88,123
73,86,122
75,90,121
77,91,124
79,90,133
88,117,164
95,120,166
94,120,165
92,121,166
91,120,167
88,114,160
87,114,157
86,113,155
83,111,153
81,108,148
79,107,144
79,106,140
79,100,138
77,96,136
75,93,133
72,92,130
71,92,127
72,90,124
74,90,124
75,91,125
78,95,127
80,97,131
83,97,137
90,119,166
88,115,162
89,116,164
92,121,166
93,121,166
88,114,163
95,122,167
97,123,170
88,113,161
87,113,158
84,111,156
82,109,153
79,106,147
78,104,143
78,104,138
78,99,136
78,95,135
75,92,134
73,91,131
71,91,127
73,91,123
75,93,125
77,97,129
80,100,134
82,102,138
86,104,142
91,119,166
94,121,166
83,105,145
98,123,172
97,123,169
96,122,167
94,122,167
93,121,166
92,119,165
91,116,165
89,115,164
88,114,162
87,113,159
84,110,156
82,107,153
80,103,146
79,101,141
79,100,136
79,96,135
78,93,135
76,92,135
74,91,131
73,91,127
75,95,123
77,99,127
79,103,134
81,103,141
75,96,130
107,125,173
100,125,171
98,126,168
97,125,168
96,124,168
94,124,167
93,121,167
92,119,165
90,118,164
88,117,162
86,114,159
83,110,155
82,106,152
80,103,146
79,101,141
79,100,137
80,96,136
79,95,136
77,94,136
76,94,133
80,104,136
77,99,127
79,102,130
82,104,141
100,127,169
106,130,167
103,129,168
83,104,140
97,126,169
95,124,168
93,121,166
90,121,165
88,118,162
85,114,158
83,110,155
